Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle,Accident Year,Age Group of Casualty,Time Period
2,2009-01-14,1138,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,56,Car,2009,Adult,Daytime
1,2009-01-14,150,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,53,Car,2009,Adult,Midnight
2,2009-01-14,1300,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Pedal cycle,2009,Adult,Noon
2,2009-01-15,640,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Female,53,Car,2009,Adult,Daytime
2,2009-01-15,1935,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,43,Car,2009,Adult,Night
4,2009-01-15,740,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Male,16,Car,2009,Child,Daytime
2,2009-01-15,1335,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,75,Pedal cycle,2009,Elderly,Noon
2,2009-01-15,910,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,42,Car,2009,Adult,Daytime
2,2009-01-15,1330,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,36,Car,2009,Adult,Noon
1,2009-01-16,15,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Serious,Male,38,Motorcycle over 500cc,2009,Adult,Midnight
2,2009-01-16,1404,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,25,Bus or coach (17 or more passenger seats),2009,Adult,Noon
2,2009-01-16,1404,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,53,Bus or coach (17 or more passenger seats),2009,Adult,Noon
1,2009-01-16,1338,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Motorcycle over 50cc and up to 125cc,2009,Adult,Noon
1,2009-01-16,630,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,33,Car,2009,Adult,Daytime
2,2009-01-17,1215,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,90,Other Vehicle ,2009,Elderly,Noon
1,2009-01-17,1115,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,65,Bus or coach (17 or more passenger seats),2009,Adult,Daytime
2,2009-01-17,2125,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Female,18,Car,2009,Adult,Night
2,2009-01-17,2125,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,23,Car,2009,Adult,Night
2,2009-01-17,2125,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Female,17,Car,2009,Child,Night
2,2009-01-17,2125,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,17,Car,2009,Child,Night
1,2009-01-17,1510,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,69,Bus or coach (17 or more passenger seats),2009,Elderly,Noon
4,2009-01-17,133,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,19,Car,2009,Adult,Midnight
2,2009-01-17,1001,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,39,Goods vehicle 3.5 tonnes mgw and under,2009,Adult,Daytime
2,2009-01-17,1505,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,20,Car,2009,Adult,Noon
2,2009-01-17,1505,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Car,2009,Adult,Noon
1,2009-01-17,1742,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,68,Bus or coach (17 or more passenger seats),2009,Elderly,Noon
1,2009-01-17,1645,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,21,Car,2009,Adult,Noon
1,2009-01-17,1750,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,23,Car,2009,Adult,Noon
2,2009-01-18,1825,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,47,Car,2009,Adult,Night
1,2009-01-18,1510,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,30,Car,2009,Adult,Noon
1,2009-01-19,817,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Male,12,Car,2009,Child,Daytime
2,2009-01-19,1154,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,23,Car,2009,Adult,Daytime
2,2009-01-19,1154,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,84,Bus or coach (17 or more passenger seats),2009,Elderly,Daytime
2,2009-01-19,1800,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,21,Car,2009,Adult,Noon
2,2009-01-19,1655,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver,Slight,Female,55,Car,2009,Adult,Noon
2,2009-01-19,902,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,37,Car,2009,Adult,Daytime
2,2009-01-19,902,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,34,Car,2009,Adult,Daytime
1,2009-01-19,1715,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,61,Car,2009,Adult,Noon
3,2009-01-19,750,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,53,Car,2009,Adult,Daytime
3,2009-01-19,750,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Serious,Male,23,Motorcycle over 50cc and up to 125cc,2009,Adult,Daytime
2,2009-01-19,1820,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Female,58,Car,2009,Adult,Night
2,2009-01-19,1820,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,27,Car,2009,Adult,Night
2,2009-01-19,1820,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,21,Car,2009,Adult,Night
2,2009-01-19,1820,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,25,Car,2009,Adult,Night
2,2009-01-19,1500,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,43,Car,2009,Adult,Noon
3,2009-01-19,1848,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,59,Car,2009,Adult,Night
2,2009-01-19,750,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,23,Car,2009,Adult,Daytime
2,2009-01-19,750,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,23,Bus or coach (17 or more passenger seats),2009,Adult,Daytime
1,2009-01-19,1029,Wet / Damp,Daylight: street lights present,Snowing without high winds,Passenger,Slight,Male,65,Bus or coach (17 or more passenger seats),2009,Adult,Daytime
3,2009-01-19,1328,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,19,Car,2009,Adult,Noon
1,2009-01-19,1730,Dry,Darkness: street lighting unknown,Unknown,Pedestrian,Slight,Female,27,Goods vehicle 3.5 tonnes mgw and under,2009,Adult,Noon
2,2009-01-20,848,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,40,Car,2009,Adult,Daytime
2,2009-01-20,848,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,28,Car,2009,Adult,Daytime
2,2009-01-20,815,Frost / Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,27,Car,2009,Adult,Daytime
